Crown of Madness,1483742,http://www.worldanvil.com/sheet/1483742/view
Crusader's Mantle,1483743,http://www.worldanvil.com/sheet/1483743/view
Cure Wounds,1483744,http://www.worldanvil.com/sheet/1483744/view
Dancing Lights,1483745,http://www.worldanvil.com/sheet/1483745/view
Darkness,1483746,http://www.worldanvil.com/sheet/1483746/view
Darkvision,1483747,http://www.worldanvil.com/sheet/1483747/view
Daylight,1483748,http://www.worldanvil.com/sheet/1483748/view
Death Ward,1483749,http://www.worldanvil.com/sheet/1483749/view
Delayed Blast Fireball,1483750,http://www.worldanvil.com/sheet/1483750/view
Demiplane,1483751,http://www.worldanvil.com/sheet/1483751/view
Destructive Wave,1483752,http://www.worldanvil.com/sheet/1483752/view
Detect Evil and Good,1483753,http://www.worldanvil.com/sheet/1483753/view
Detect Magic,1483754,http://www.worldanvil.com/sheet/1483754/view
Detect Poison and Disease,1483755,http://www.worldanvil.com/sheet/1483755/view
Detect Thoughts,1483756,http://www.worldanvil.com/sheet/1483756/view
Dimension Door,1483757,http://www.worldanvil.com/sheet/1483757/view
Disguise Self,1483758,http://www.worldanvil.com/sheet/1483758/view
Disintegrate,1483759,http://www.worldanvil.com/sheet/1483759/view
Dispel Evil and Good,1483760,http://www.worldanvil.com/sheet/1483760/view
Dispel Magic,1483761,http://www.worldanvil.com/sheet/1483761/view
Dissonant Whispers,1483762,http://www.worldanvil.com/sheet/1483762/view
Divination,1483763,http://www.worldanvil.com/sheet/1483763/view
Divine Favor,1483764,http://www.worldanvil.com/sheet/1483764/view
Divine Smite,1483765,http://www.worldanvil.com/sheet/1483765/view
Divine Word,1483766,http://www.worldanvil.com/sheet/1483766/view
Dominate Beast,1483767,http://www.worldanvil.com/sheet/1483767/view
Dominate Monster,1483768,http://www.worldanvil.com/sheet/1483768/view
Dominate Person,1483769,http://www.worldanvil.com/sheet/1483769/view
Dragon's Breath,1483770,http://www.worldanvil.com/sheet/1483770/view
Drawmij's Instant Summons,1483771,http://www.worldanvil.com/sheet/1483771/view
Dream,1483772,http://www.worldanvil.com/sheet/1483772/view
Druidcraft,1483773,http://www.worldanvil.com/sheet/1483773/view
Earthquake,1483774,http://www.worldanvil.com/sheet/1483774/view
Eldritch Blast,1483775,http://www.worldanvil.com/sheet/1483775/view
Elemental Weapon,1483776,http://www.worldanvil.com/sheet/1483776/view
Elementalism,1483777,http://www.worldanvil.com/sheet/1483777/view
Enhance Ability,1483778,http://www.worldanvil.com/sheet/1483778/view
Enlarge/Reduce,1483779,http://www.worldanvil.com/sheet/1483779/view
Ensnaring Strike,1483780,http://www.worldanvil.com/sheet/1483780/view
Entangle,1483781,http://www.worldanvil.com/sheet/1483781/view
Enthrall,1483782,http://www.worldanvil.com/sheet/1483782/view
Etherealness,1483783,http://www.worldanvil.com/sheet/1483783/view
Evard's Black Tentacles,1483784,http://www.worldanvil.com/sheet/1483784/view
Expeditious Retreat,1483785,http://www.worldanvil.com/sheet/1483785/view
Eyebite,1483786,http://www.worldanvil.com/sheet/1483786/view
Fabricate,1483787,http://www.worldanvil.com/sheet/1483787/view
Faerie Fire,1483788,http://www.worldanvil.com/sheet/1483788/view
False Life,1483789,http://www.worldanvil.com/sheet/1483789/view
Fear,1483790,http://www.worldanvil.com/sheet/1483790/view
Feather Fall,1483791,http://www.worldanvil.com/sheet/1483791/view
Feign Death,1483792,http://www.worldanvil.com/sheet/1483792/view
Find Familiar,1483793,http://www.worldanvil.com/sheet/1483793/view
Find Steed,1483794,http://www.worldanvil.com/sheet/1483794/view
Find the Path,1483795,http://www.worldanvil.com/sheet/1483795/view
Find Traps,1483796,http://www.worldanvil.com/sheet/1483796/view
Finger of Death,1483797,http://www.worldanvil.com/sheet/1483797/view
Fire Bolt,1483798,http://www.worldanvil.com/sheet/1483798/view
Fire Shield,1483799,http://www.worldanvil.com/sheet/1483799/view
Fire Storm,1483800,http://www.worldanvil.com/sheet/1483800/view
Fireball,1483801,http://www.worldanvil.com/sheet/1483801/view
Flame Blade,1483802,http://www.worldanvil.com/sheet/1483802/view
Flame Strike,1483803,http://www.worldanvil.com/sheet/1483803/view
Flaming Sphere,1483804,http://www.worldanvil.com/sheet/1483804/view
Flesh to Stone,1483805,http://www.worldanvil.com/sheet/1483805/view
Fly,1483806,http://www.worldanvil.com/sheet/1483806/view
Fog Cloud,1483807,http://www.worldanvil.com/sheet/1483807/view
Forbiddance,1483808,http://www.worldanvil.com/sheet/1483808/view
Forcecage,1483809,http://www.worldanvil.com/sheet/1483809/view
Foresight,1483810,http://www.worldanvil.com/sheet/1483810/view
Fount of Moonlight,1483811,http://www.worldanvil.com/sheet/1483811/view
Freedom of Movement,1483812,http://www.worldanvil.com/sheet/1483812/view
Friends,1483813,http://www.worldanvil.com/sheet/1483813/view
Gaseous Form,1483814,http://www.worldanvil.com/sheet/1483814/view
Gate,1483815,http://www.worldanvil.com/sheet/1483815/view
Geas,1483816,http://www.worldanvil.com/sheet/1483816/view
Gentle Repose,1483817,http://www.worldanvil.com/sheet/1483817/view
Giant Insect,1483818,http://www.worldanvil.com/sheet/1483818/view
Glibness,1483819,http://www.worldanvil.com/sheet/1483819/view
Globe of Invulnerability,1483820,http://www.worldanvil.com/sheet/1483820/view
Glyph of Warding,1483821,http://www.worldanvil.com/sheet/1483821/view
Goodberry,1483822,http://www.worldanvil.com/sheet/1483822/view
Grasping Vine,1483823,http://www.worldanvil.com/sheet/1483823/view
Grease,1483824,http://www.worldanvil.com/sheet/1483824/view
Greater Invisibility,1483825,http://www.worldanvil.com/sheet/1483825/view
Greater Restoration,1483826,http://www.worldanvil.com/sheet/1483826/view
Guardian of Faith,1483827,http://www.worldanvil.com/sheet/1483827/view
Guards and Wards,1483828,http://www.worldanvil.com/sheet/1483828/view
Guidance,1483829,http://www.worldanvil.com/sheet/1483829/view
Guiding Bolt,1483830,http://www.worldanvil.com/sheet/1483830/view
Gust of Wind,1483831,http://www.worldanvil.com/sheet/1483831/view
Hail of Thorns,1483832,http://www.worldanvil.com/sheet/1483832/view
Hallow,1483833,http://www.worldanvil.com/sheet/1483833/view
Hallucinatory Terrain,1483834,http://www.worldanvil.com/sheet/1483834/view
Harm,1483835,http://www.worldanvil.com/sheet/1483835/view
Haste,1483836,http://www.worldanvil.com/sheet/1483836/view
Heal,1483837,http://www.worldanvil.com/sheet/1483837/view
Healing Word,1483838,http://www.worldanvil.com/sheet/1483838/view
Heat Metal,1483839,http://www.worldanvil.com/sheet/1483839/view
Hellish Rebuke,1483840,http://www.worldanvil.com/sheet/1483840/view
Heroes' Feast,1483841,http://www.worldanvil.com/sheet/1483841/view
Heroism,1483842,http://www.worldanvil.com/sheet/1483842/view
Hex,1483843,http://www.worldanvil.com/sheet/1483843/view
Hold Monster,1483844,http://www.worldanvil.com/sheet/1483844/view
Hold Person,1483845,http://www.worldanvil.com/sheet/1483845/view
Holy Aura,1483846,http://www.worldanvil.com/sheet/1483846/view
Hunger of Hadar,1483847,http://www.worldanvil.com/sheet/1483847/view
Hunter's Mark,1483848,http://www.worldanvil.com/sheet/1483848/view
Hypnotic Pattern,1483849,http://www.worldanvil.com/sheet/1483849/view
Ice Knife,1483850,http://www.worldanvil.com/sheet/1483850/view
Ice Storm,1483851,http://www.worldanvil.com/sheet/1483851/view
Identify,1483852,http://www.worldanvil.com/sheet/1483852/view
Illusory Script,1483853,http://www.worldanvil.com/sheet/1483853/view
Imprisonment,1483854,http://www.worldanvil.com/sheet/1483854/view
Incendiary Cloud,1483855,http://www.worldanvil.com/sheet/1483855/view
Inflict Wounds,1483856,http://www.worldanvil.com/sheet/1483856/view
Insect Plague,1483857,http://www.worldanvil.com/sheet/1483857/view
Invisibility,1483858,http://www.worldanvil.com/sheet/1483858/view
Jallarzi's Storm of Radiance,1483859,http://www.worldanvil.com/sheet/1483859/view
Jump,1483860,http://www.worldanvil.com/sheet/1483860/view
Knock,1483861,http://www.worldanvil.com/sheet/1483861/view
Legend Lore,1483862,http://www.worldanvil.com/sheet/1483862/view
Leomund's Secret Chest,1483863,http://www.worldanvil.com/sheet/1483863/view
Leomund's Tiny Hut,1483864,http://www.worldanvil.com/sheet/1483864/view
Lesser Restoration,1483865,http://www.worldanvil.com/sheet/1483865/view
Levitate,1483866,http://www.worldanvil.com/sheet/1483866/view
Light,1483867,http://www.worldanvil.com/sheet/1483867/view
Lightning Arrow,1483868,http://www.worldanvil.com/sheet/1483868/view
Lightning Bolt,1483869,http://www.worldanvil.com/sheet/1483869/view
Locate Animals or Plants,1483870,http://www.worldanvil.com/sheet/1483870/view
Locate Creature,1483871,http://www.worldanvil.com/sheet/1483871/view
Locate Object,1483872,http://www.worldanvil.com/sheet/1483872/view
Longstrider,1483873,http://www.worldanvil.com/sheet/1483873/view
Mage Armor,1483874,http://www.worldanvil.com/sheet/1483874/view
Mage Hand,1483875,http://www.worldanvil.com/sheet/1483875/view
Magic Circle,1483876,http://www.worldanvil.com/sheet/1483876/view
Magic Jar,1483877,http://www.worldanvil.com/sheet/1483877/view
Magic Missile,1483878,http://www.worldanvil.com/sheet/1483878/view
Magic Mouth,1483879,http://www.worldanvil.com/sheet/1483879/view
Magic Weapon,1483880,http://www.worldanvil.com/sheet/1483880/view
Major Image,1483881,http://www.worldanvil.com/sheet/1483881/view
Mass Cure Wounds,1483882,http://www.worldanvil.com/sheet/1483882/view
Mass Heal,1483883,http://www.worldanvil.com/sheet/1483883/view
Mass Healing Word,1483884,http://www.worldanvil.com/sheet/1483884/view
